School,Street,City,District,County,State,Zip,Ranking,StatusType,Latitude,Longitude
FAME Public Charter,"39899 Balentine Drive, Suite 335",Newark,Alameda County Office of Education,Alameda,CA,94560.0,4,Active,37.52197,-121.9926
Envision Academy for Arts & Technology,1515 Webster Street,Oakland,Alameda County Office of Education,Alameda,CA,94612.0,2,Active,37.804520000000004,-122.26815
Community School for Creative Education,8755 Fontaine Street,Oakland,Alameda County Office of Education,Alameda,CA,94605.0,1,Active,37.762988,-122.15168
Yu Ming Charter,321 Tenth Street,Oakland,Alameda County Office of Education,Alameda,CA,94607.0,10,Active,37.800359,-122.26988999999999
Urban Montessori Charter,5328 Brann Street,Oakland,Alameda County Office of Education,Alameda,CA,94619.0,1,Active,37.778352000000005,-122.1895
Alameda County Juvenile Hall/Court,2500 Fairmont Avenue,San Leandro,Alameda County Office of Education,Alameda,CA,94578.0,,Active,37.712878,-122.11173000000001
Alameda County Community,313 West Winton Avenue,Hayward,Alameda County Office of Education,Alameda,CA,94544.0,,Active,37.658212,-122.09713
Cox Academy,9860 Sunnyside Street,Oakland,Alameda County Office of Education,Alameda,CA,94578.0,2,Active,37.746513,-122.16181999999999
Lazear Charter Academy,824 29th Avenue,Oakland,Alameda County Office of Education,Alameda,CA,94578.0,2,Active,37.776239000000004,-122.23207
California School for the Blind,500 Walnut Avenue,Fremont,California School for the Blind (State Special Schl),Alameda,CA,94601.0,,Active,37.562576,-121.96563
California School for the Deaf-Fremont,39350 Gallaudet Drive,Fremont,California School for the Deaf-Fremont (State Special Schl),Alameda,CA,94501.0,,Active,37.558956,-121.96551000000001
Alameda Science and Technology Institute,555 Atlantic Avenue,Alameda,Alameda Unified,Alameda,CA,94501.0,10,Active,37.779884,-122.28052
Ruby Bridges Elementary,351 Jack London Avenue,Alameda,Alameda Unified,Alameda,CA,94501.0,5,Active,37.781834,-122.28613999999999
Nea Community Learning Center,1900 Third St,Alameda,Alameda Unified,Alameda,CA,94501.0,7,Active,37.779051,-122.28703
Maya Lin,825 Taylor Street,Alameda,Alameda Unified,Alameda,CA,94621.0,4,Active,37.772724,-122.27188999999998
Alameda High,2201 Encinal Avenue,Alameda,Alameda Unified,Alameda,CA,94501.0,8,Active,37.764294,-122.24807
Alameda Community Learning Center,1900 Third St,Alameda,Alameda Unified,Alameda,CA,94501.0,10,Active,37.779051,-122.28703
Encinal High,210 Central Avenue,Alameda,Alameda Unified,Alameda,CA,94501.0,7,Active,37.773616,-122.29026999999999
Donald D. Lum Elementary,1801 Sandcreek Way,Alameda,Alameda Unified,Alameda,CA,94501.0,8,Active,37.762203,-122.25895
Edison Elementary,2700 Buena Vista Avenue,Alameda,Alameda Unified,Alameda,CA,94501.0,10,Active,37.765083000000004,-122.23421
Frank Otis Elementary,3010 Fillmore Street,Alameda,Alameda Unified,Alameda,CA,94501.0,9,Active,37.754028999999996,-122.23799
Franklin Elementary,1433 San Antonio Avenue,Alameda,Alameda Unified,Alameda,CA,94501.0,6,Active,37.769036,-122.2616
Franklin Elementary,1433 San Antonio Avenue,Alameda,Alameda Unified,Alameda,CA,94501.0,9,Active,37.769036,-122.2616
Franklin Elementary,915 Foothill Boulevard,Oakland,Oakland Unified,Alameda,CA,94618.0,6,Active,37.793794,-122.24829
Franklin Elementary,915 Foothill Boulevard,Oakland,Oakland Unified,Alameda,CA,94618.0,9,Active,37.793794,-122.24829
Henry Haight Elementary,2025 Santa Clara Avenue,Alameda,Alameda Unified,Alameda,CA,94501.0,7,Active,37.769332,-122.25106000000001
Lincoln Middle,1250 Fernside Boulevard,Alameda,Alameda Unified,Alameda,CA,94501.0,9,Active,37.752241999999995,-122.23276000000001
Washington Elementary,2300 Martin Luther King Junior Way,Berkeley,Berkeley Unified,Alameda,CA,94705.0,1,Active,37.866959,-122.27257
Washington Elementary,2300 Martin Luther King Junior Way,Berkeley,Berkeley Unified,Alameda,CA,94705.0,8,Active,37.866959,-122.27257
Washington Elementary,250 Dutton Avenue,San Leandro,San Leandro Unified,Alameda,CA,94580.0,1,Active,37.732427,-122.15676
Washington Elementary,250 Dutton Avenue,San Leandro,San Leandro Unified,Alameda,CA,94580.0,8,Active,37.732427,-122.15676
Will C. Wood Middle,420 Grand Street,Alameda,Alameda Unified,Alameda,CA,94706.0,5,Active,37.763031,-122.26191999999999
William G. Paden Elementary,444 Central Avenue,Alameda,Alameda Unified,Alameda,CA,94706.0,7,Active,37.771566,-122.28446000000001
Amelia Earhart Elementary,400 Packet Landing Road,Alameda,Alameda Unified,Alameda,CA,94706.0,10,Active,37.745289,-122.23928000000001
Albany High,603 Key Route Boulevard,Albany,Albany City Unified,Alameda,CA,94706.0,9,Active,37.896661,-122.29257
Cornell Elementary,920 Talbot Avenue,Albany,Albany City Unified,Alameda,CA,94566.0,9,Active,37.889826,-122.29518
Albany Middle,1259 Brighton Avenue,Albany,Albany City Unified,Alameda,CA,94566.0,10,Active,37.897851,-122.2953
Marin Elementary,1001 Santa Fe Avenue,Albany,Albany City Unified,Alameda,CA,94566.0,10,Active,37.888559,-122.28817
Ocean View Elementary,1000 Jackson Street,Albany,Albany City Unified,Alameda,CA,94566.0,8,Active,37.887539000000004,-122.30091999999999
Foothill High,4375 Foothill Road,Pleasanton,Amador Valley Joint Union High,Alameda,CA,94710.0,10,Merged,,
Foothill High,4375 Foothill Road,Pleasanton,Pleasanton Unified,Alameda,CA,94566.0,10,Active,37.671579,-121.91994
Village High,4750 First Street,Pleasanton,Amador Valley Joint Union High,Alameda,CA,94710.0,,Merged,,
Village High,4645 Bernal Avenue,Pleasanton,Pleasanton Unified,Alameda,CA,94566.0,,Active,37.655190000000005,-121.87513999999999
Amador Valley High,1155 Santa Rita Road,Pleasanton,Amador Valley Joint Union High,Alameda,CA,94702.0,10,Merged,,
Amador Valley High,1155 Santa Rita Road,Pleasanton,Pleasanton Unified,Alameda,CA,94566.0,10,Active,37.668296000000005,-121.87326999999999
Dublin High,8151 Village Parkway,Dublin,Amador Valley Joint Union High,Alameda,CA,94704.0,10,Merged,,
Dublin High,8151 Village Parkway,Dublin,Dublin Unified,Alameda,CA,94566.0,10,Active,37.720996,-121.92638999999998
REALM Charter Middle,2023 Eighth Street,Berkeley,Berkeley Unified,Alameda,CA,94703.0,3,Active,37.867478999999996,-122.29491999999999
REALM Charter High,2023 Eighth Street,Berkeley,Berkeley Unified,Alameda,CA,94705.0,1,Active,37.867478999999996,-122.29491999999999
Berkeley High,1980 Allston Way,Berkeley,Berkeley Unified,Alameda,CA,94704.0,5,Active,37.868913,-122.2712
Berkeley Technology Academy,2701 Martin Luther King Junior Way,Berkeley,Berkeley Unified,Alameda,CA,94708.0,3,Active,37.85974,-122.27171000000001
Martin Luther King Middle,1781 Rose Street,Berkeley,Berkeley Unified,Alameda,CA,94707.0,9,Active,37.881113,-122.277
Willard Middle,2425 Stuart Street,Berkeley,Berkeley Unified,Alameda,CA,94705.0,7,Active,37.859666,-122.25862
Rosa Parks Environmental Science Magnet,920 Allston Way,Berkeley,Berkeley Unified,Alameda,CA,94702.0,9,Active,37.865652000000004,-122.29471000000001
Cragmont Elementary,830 Regal Road,Berkeley,Berkeley Unified,Alameda,CA,94705.0,7,Active,37.892672999999995,-122.26355
Emerson Elementary,2800 Forest Avenue,Berkeley,Berkeley Unified,Alameda,CA,94703.0,1,Active,37.86149,-122.25111000000001
Emerson Elementary,2800 Forest Avenue,Berkeley,Berkeley Unified,Alameda,CA,94703.0,7,Active,37.86149,-122.25111000000001
Emerson Elementary,4803 Lawton Avenue,Oakland,Oakland Unified,Alameda,CA,94621.0,1,Active,37.834628,-122.2573
Emerson Elementary,4803 Lawton Avenue,Oakland,Oakland Unified,Alameda,CA,94621.0,7,Active,37.834628,-122.2573
Jefferson Elementary,1400 Ada Street,Berkeley,Berkeley Unified,Alameda,CA,94704.0,2,Active,37.878921000000005,-122.28521
Jefferson Elementary,1400 Ada Street,Berkeley,Berkeley Unified,Alameda,CA,94704.0,9,Active,37.878921000000005,-122.28521
Jefferson Elementary,14300 Bancroft Avenue,San Leandro,San Leandro Unified,Alameda,CA,94580.0,2,Active,37.712441,-122.13591000000001
Jefferson Elementary,14300 Bancroft Avenue,San Leandro,San Leandro Unified,Alameda,CA,94580.0,9,Active,37.712441,-122.13591000000001
Leconte Elementary,2241 Russell Street,Berkeley,Berkeley Unified,Alameda,CA,94708.0,6,Active,37.857352,-122.26231000000001
Malcolm X Elementary,1731 Prince Street,Berkeley,Berkeley Unified,Alameda,CA,94709.0,9,Active,37.8522,-122.27373
Longfellow Arts and Technology Middle,1500 Derby Street,Berkeley,Berkeley Unified,Alameda,CA,94705.0,7,Active,37.858686999999996,-122.28
Oxford Elementary,1130 Oxford Street,Berkeley,Berkeley Unified,Alameda,CA,94705.0,9,Active,37.887796,-122.26827
Thousand Oaks Elementary,840 Colusa Avenue,Berkeley,Berkeley Unified,Alameda,CA,94703.0,8,Active,37.893082,-122.2804
Berkeley Arts Magnet at Whittier,1645 Milvia Street,Berkeley,Berkeley Unified,Alameda,CA,94546.0,8,Active,37.876919,-122.27123
John Muir Elementary,2955 Claremont Avenue,Berkeley,Berkeley Unified,Alameda,CA,94546.0,4,Active,37.857194,-122.24593
Castro Valley High,19400 Santa Maria Avenue,Castro Valley,Castro Valley Unified,Alameda,CA,94552.0,8,Active,37.705184,-122.07847
Redwood Continuation High,18400 Clifton Way,Castro Valley,Castro Valley Unified,Alameda,CA,94546.0,,Active,37.7128,-122.09305
Castro Valley Elementary,20185 San Miguel Avenue,Castro Valley,Castro Valley Unified,Alameda,CA,94546.0,7,Active,37.698046999999995,-122.08102
Chabot Elementary,19104 Lake Chabot Road,Castro Valley,Castro Valley Unified,Alameda,CA,94546.0,10,Active,37.707084,-122.09012
Chabot Elementary,19104 Lake Chabot Road,Castro Valley,Castro Valley Unified,Alameda,CA,94546.0,9,Active,37.707084,-122.09012
Chabot Elementary,6686 Chabot Road,Oakland,Oakland Unified,Alameda,CA,94606.0,10,Active,37.850664,-122.24293
Chabot Elementary,6686 Chabot Road,Oakland,Oakland Unified,Alameda,CA,94606.0,9,Active,37.850664,-122.24293
Creekside Middle,19722 Center Street,Castro Valley,Castro Valley Unified,Alameda,CA,94546.0,9,Active,37.699926,-122.06123999999998
Independent Elementary,21201 Independent School Road,Castro Valley,Castro Valley Unified,Alameda,CA,94546.0,10,Active,37.699109,-122.04975
Marshall Elementary,20111 Marshall Street,Castro Valley,Castro Valley Unified,Alameda,CA,94546.0,8,Active,37.697794,-122.06573
Palomares Elementary,6395 Palo Verde Road,Castro Valley,Castro Valley Unified,Alameda,CA,94546.0,10,Active,37.695582,-122.0248
Proctor Elementary,17520 Redwood Road,Castro Valley,Castro Valley Unified,Alameda,CA,94552.0,9,Active,37.716741999999996,-122.07366
Stanton Elementary,2644 Somerset Avenue,Castro Valley,Castro Valley Unified,Alameda,CA,94608.0,9,Active,37.699908,-122.09352
Vannoy Elementary,5100 Vannoy,Castro Valley,Castro Valley Unified,Alameda,CA,94608.0,10,Active,37.706635999999996,-122.05868000000001
Canyon Middle,19600 Cull Canyon Road,Castro Valley,Castro Valley Unified,Alameda,CA,94608.0,9,Active,37.705771999999996,-122.05426000000001
Jensen Ranch Elementary,20001 Carson Lane,Castro Valley,Castro Valley Unified,Alameda,CA,94608.0,10,Active,37.713125,-122.03121999999999
Emery Secondary,915 54th Street,Oakland,Emery Unified,Alameda,CA,94538.0,1,Active,37.838198,-122.27388
Anna Yates Elementary,1070 41st Street,Emeryville,Emery Unified,Alameda,CA,94538.0,4,Active,37.83222,-122.27837
American High,36300 Fremont Boulevard,Fremont,Fremont Unified,Alameda,CA,94539.0,9,Active,37.563645,-122.01746999999999
Vista Alternative,4455 Seneca Park Avenue,Fremont,Fremont Unified,Alameda,CA,94536.0,4,Active,37.518632000000004,-121.96491999999999
Circle of Independent Learning,4700 Calaveras Avenue,Fremont,Fremont Unified,Alameda,CA,94536.0,8,Active,37.537962,-121.99206000000001
Irvington High,41800 Blacow Road,Fremont,Fremont Unified,Alameda,CA,94538.0,10,Active,37.522653999999996,-121.96902
John F. Kennedy High,39999 Blacow Road,Fremont,Fremont Unified,Alameda,CA,94536.0,5,Active,37.528399,-121.98312
Mission San Jose High,41717 Palm Avenue,Fremont,Fremont Unified,Alameda,CA,94538.0,10,Active,37.54504,-121.93193000000001
Washington High,38442 Fremont Boulevard,Fremont,Fremont Unified,Alameda,CA,94538.0,7,Active,37.552082,-121.99484
John Blacow Elementary,40404 Sundale Drive,Fremont,Fremont Unified,Alameda,CA,94536.0,6,Active,37.527561,-121.97712
Brier Elementary,39201 Sundale Drive,Fremont,Fremont Unified,Alameda,CA,94536.0,8,Active,37.539776,-121.9847
Cabrillo Elementary,36700 San Pedro Drive,Fremont,Fremont Unified,Alameda,CA,94538.0,5,Active,37.550826,-122.02333
E. M. Grimmer Elementary,43030 Newport Drive,Fremont,Fremont Unified,Alameda,CA,94538.0,6,Active,37.519634,-121.951
Glenmoor Elementary,4620 Mattos Drive,Fremont,Fremont Unified,Alameda,CA,94536.0,9,Active,37.545703,-122.00487
Harvey Green Elementary,42875 Gatewood Street,Fremont,Fremont Unified,Alameda,CA,94539.0,9,Active,37.518135,-121.9581
J. Haley Durham Elementary,40292 Leslie Street,Fremont,Fremont Unified,Alameda,CA,94536.0,7,Active,37.542078000000004,-121.96688999999999
James Leitch Elementary,47100 Fernald Street,Fremont,Fremont Unified,Alameda,CA,94538.0,10,Active,37.486506,-121.92328
Joseph Azevada Elementary,39450 Royal Palm Drive,Fremont,Fremont Unified,Alameda,CA,94538.0,7,Active,37.53097,-121.99417
Tom Maloney Elementary,38700 Logan Drive,Fremont,Fremont Unified,Alameda,CA,94536.0,8,Active,37.545405,-121.99843
John G. Mattos Elementary,37944 Farwell Drive,Fremont,Fremont Unified,Alameda,CA,94538.0,9,Active,37.538095,-122.01172
Mission Valley Elementary,41700 Denise Street,Fremont,Fremont Unified,Alameda,CA,94536.0,10,Active,37.535790999999996,-121.94741
Niles Elementary,37141 Second Street,Fremont,Fremont Unified,Alameda,CA,94539.0,10,Active,37.57705,-121.98446000000001
O. N. Hirsch Elementary,41399 Chapel Way,Fremont,Fremont Unified,Alameda,CA,94536.0,10,Active,37.528227,-121.9629
Parkmont Elementary,2601 Parkside Drive,Fremont,Fremont Unified,Alameda,CA,94538.0,10,Active,37.560232,-121.98468000000001
Patterson Elementary,35521 Cabrillo Drive,Fremont,Fremont Unified,Alameda,CA,94538.0,8,Active,37.56225,-122.03085
Vallejo Mill Elementary,38569 Canyon Heights Drive,Fremont,Fremont Unified,Alameda,CA,94539.0,7,Active,37.574495,-121.9599
Warm Springs Elementary,47370 Warm Springs Boulevard,Fremont,Fremont Unified,Alameda,CA,94539.0,10,Active,37.482877,-121.92533999999999
Centerville Junior High,37720 Fremont Boulevard,Fremont,Fremont Unified,Alameda,CA,94538.0,8,Active,37.555648,-122.0019
G. M. Walters Junior High,39600 Logan Drive,Fremont,Fremont Unified,Alameda,CA,94538.0,5,Active,37.5373,-121.98586
John M. Horner Junior High,41365 Chapel Way,Fremont,Fremont Unified,Alameda,CA,94555.0,10,Active,37.528537,-121.96295
Thornton Junior High,4357 Thornton Avenue,Fremont,Fremont Unified,Alameda,CA,94538.0,9,Active,37.557124,-122.01454
William Hopkins Junior High,600 Driscoll Road,Fremont,Fremont Unified,Alameda,CA,94539.0,10,Active,37.54702,-121.94242
John Gomes Elementary,555 Lemos Lane,Fremont,Fremont Unified,Alameda,CA,94539.0,10,Active,37.550360999999995,-121.94761000000001
Brookvale Elementary,3400 Nicolet Avenue,Fremont,Fremont Unified,Alameda,CA,94555.0,9,Active,37.568768,-122.01398999999999
Warwick Elementary,3375 Warwick Road,Fremont,Fremont Unified,Alameda,CA,94539.0,9,Active,37.57651,-122.03048000000001
Joshua Chadbourne Elementary,801 Plymouth Avenue,Fremont,Fremont Unified,Alameda,CA,94536.0,10,Active,37.542168,-121.93996000000001
Mission San Jose Elementary,43545 Bryant Street,Fremont,Fremont Unified,Alameda,CA,94544.0,10,Active,37.528296000000005,-121.92137
Oliveira Elementary,4180 Alder Avenue,Fremont,Fremont Unified,Alameda,CA,94545.0,9,Active,37.560394,-122.01771000000001
Steven Millard Elementary,5200 Valpey Park Drive,Fremont,Fremont Unified,Alameda,CA,94542.0,9,Active,37.520062,-121.97397
Ardenwood Elementary,33955 Emilia Lane,Fremont,Fremont Unified,Alameda,CA,94545.0,10,Active,37.572796000000004,-122.05205
Fred E. Weibel Elementary,45135 South Grimmer Boulevard,Fremont,Fremont Unified,Alameda,CA,94546.0,10,Active,37.507308,-121.92838
Forest Park Elementary,34400 Maybird Circle,Fremont,Fremont Unified,Alameda,CA,94546.0,10,Active,37.561214,-122.05188000000001
Leadership Public Schools - Hayward,28000 Calaroga Avenue,Hayward,Hayward Unified,Alameda,CA,94540.0,9,Active,37.624193,-122.0879
Stonebrae Elementary,28761 Hayward Boulevard,Hayward,Hayward Unified,Alameda,CA,94541.0,6,Active,37.654731,-122.02046999999999
Impact Academy of Arts & Technology,2560 Darwin Street,Hayward,Hayward Unified,Alameda,CA,94540.0,7,Active,37.631316999999996,-122.10253999999999
Golden Oak Montessori of Hayward,2652 Vergil Ct,Castro Valley,Hayward Unified,Alameda,CA,94541.0,5,Active,37.687804,-122.06973
Brenkwitz High,22100 Princeton Street,Hayward,Hayward Unified,Alameda,CA,94544.0,,Active,37.671956,-122.09895
Hayward High,1633 East Avenue,Hayward,Hayward Unified,Alameda,CA,94541.0,2,Active,37.672677,-122.06992
Mt. Eden High,2300 Panama Street,Hayward,Hayward Unified,Alameda,CA,94541.0,3,Active,37.625313,-122.09056000000001
Tennyson High,27035 Whitman Road,Hayward,Hayward Unified,Alameda,CA,94545.0,1,Active,37.642546,-122.06596
Bowman Elementary,520 Jefferson Street,Hayward,Hayward Unified,Alameda,CA,94544.0,1,Active,37.641372,-122.06231000000001
Burbank Elementary,353 B Street,Hayward,Hayward Unified,Alameda,CA,94544.0,7,Active,37.667925,-122.09427
Cherryland Elementary,585 Willow Avenue,Hayward,Hayward Unified,Alameda,CA,94540.0,1,Active,37.676225,-122.09863999999999
East Avenue Elementary,2424 East Avenue,Hayward,Hayward Unified,Alameda,CA,94542.0,2,Active,37.67083,-122.0543
Eldridge Elementary,26825 Eldridge Avenue,Hayward,Hayward Unified,Alameda,CA,94541.0,3,Active,37.63684,-122.0853
Fairview Elementary,23515 Maud Avenue,Hayward,Hayward Unified,Alameda,CA,94541.0,1,Active,37.680799,-122.05205
Glassbrook Elementary,975 Schafer Road,Hayward,Hayward Unified,Alameda,CA,94541.0,1,Active,37.640941999999995,-122.08084
Harder Elementary,495 Wyeth Road,Hayward,Hayward Unified,Alameda,CA,94545.0,3,Active,37.651511,-122.07236999999999
Hillcrest Elementary,30 Marguerite Drive,Oakland,Oakland Unified,Alameda,CA,94607.0,10,Active,37.840441999999996,-122.23286999999999
Laurel Elementary,3750 Brown Avenue,Oakland,Oakland Unified,Alameda,CA,94605.0,5,Active,37.79307,-122.19663999999999
Longwood Elementary,850 Longwood Avenue,Hayward,Hayward Unified,Alameda,CA,94540.0,2,Active,37.659052,-122.1101
Lorin A. Eden Elementary,27790 Portsmouth Avenue,Hayward,Hayward Unified,Alameda,CA,94544.0,3,Active,37.624161,-122.10008
Markham Elementary,7220 Krause Avenue,Oakland,Oakland Unified,Alameda,CA,94619.0,3,Active,37.765296,-122.17886999999999
Palma Ceia Elementary,27679 Melbourne Avenue,Hayward,Hayward Unified,Alameda,CA,94545.0,4,Active,37.627195,-122.08525
Park Elementary,411 Larchmont Street,Hayward,Hayward Unified,Alameda,CA,94544.0,1,Active,37.652934,-122.09406000000001
Ruus Elementary,28027 Dickens Avenue,Hayward,Hayward Unified,Alameda,CA,94541.0,1,Active,37.627365999999995,-122.07363000000001
Schafer Park Elementary,26268 Flamingo Avenue,Hayward,Hayward Unified,Alameda,CA,94540.0,1,Active,37.642916,-122.08734
Sequoia Elementary,3730 Lincoln Avenue,Oakland,Oakland Unified,Alameda,CA,94607.0,6,Active,37.802314,-122.21141000000001
Southgate Elementary,26601 Calaroga Avenue,Hayward,Hayward Unified,Alameda,CA,94540.0,4,Active,37.639047999999995,-122.09443999999999
Treeview Elementary,30565 Treeview Street,Hayward,Hayward Unified,Alameda,CA,94545.0,4,Active,37.624163,-122.03657
Bret Harte Middle,1047 E Street,Hayward,Hayward Unified,Alameda,CA,94545.0,1,Active,37.670265,-122.07898999999999
Bret Harte Middle,1047 E Street,Hayward,Hayward Unified,Alameda,CA,94545.0,4,Active,37.670265,-122.07898999999999
Bret Harte Middle,3700 Coolidge Avenue,Oakland,Oakland Unified,Alameda,CA,94606.0,1,Active,37.800579,-122.20652
Bret Harte Middle,3700 Coolidge Avenue,Oakland,Oakland Unified,Alameda,CA,94606.0,4,Active,37.800579,-122.20652
Cesar Chavez Middle,27845 Whitman Road,Hayward,Hayward Unified,Alameda,CA,94544.0,1,Active,37.63698,-122.06277
Cesar Chavez Middle,27845 Whitman Road,Hayward,Hayward Unified,Alameda,CA,94544.0,2,Active,37.63698,-122.06277
Cesar Chavez Middle,2801 Hop Ranch Road,Union City,New Haven Unified,Alameda,CA,94606.0,1,Active,37.590189,-122.04735
Cesar Chavez Middle,2801 Hop Ranch Road,Union City,New Haven Unified,Alameda,CA,94606.0,2,Active,37.590189,-122.04735
Anthony W. Ochoa Middle,2121 Depot Road,Hayward,Hayward Unified,Alameda,CA,94545.0,4,Active,37.638836,-122.10968000000001
Winton Middle,119 Winton Avenue,Hayward,Hayward Unified,Alameda,CA,94545.0,1,Active,37.660346999999994,-122.09095
Strobridge Elementary,21400 Bedford Drive,Castro Valley,Hayward Unified,Alameda,CA,94544.0,1,Active,37.687487,-122.08746000000001
Strobridge Elementary,21400 Bedford Drive,Castro Valley,Hayward Unified,Alameda,CA,94550.0,1,Merged,,
Eden Gardens Elementary,2184 Thayer Avenue,Hayward,Hayward Unified,Alameda,CA,94550.0,3,Active,37.638076,-122.10721000000001
Tyrrell Elementary,27000 Tyrrell Avenue,Hayward,Hayward Unified,Alameda,CA,94550.0,1,Active,37.637402,-122.07543000000001
Livermore Valley Charter,3142 Constitution Dr,Livermore,Livermore Valley Joint Unified,Alameda,CA,94550.0,9,Active,37.704857000000004,-121.81841000000001
Vineyard Alternative,1401 Almond Avenue,Livermore,Livermore Valley Joint Unified,Alameda,CA,94551.0,,Active,37.677172,-121.73987
Del Valle Continuation High,2253 Fifth Street,Livermore,Livermore Valley Joint Unified,Alameda,CA,94550.0,,Active,37.678902,-121.76673999999998
Granada High,400 Wall Street,Livermore,Livermore Valley Joint Unified,Alameda,CA,94550.0,9,Active,37.675206,-121.78983999999998
Livermore High,600 Maple Street,Livermore,Livermore Valley Joint Unified,Alameda,CA,94550.0,7,Active,37.680526,-121.76173
Junction K-8,298 Junction Avenue,Livermore,Livermore Valley Joint Unified,Alameda,CA,94551.0,4,Active,37.687022,-121.76704
East Avenue Middle,3951 East Avenue,Livermore,Livermore Valley Joint Unified,Alameda,CA,94550.0,7,Active,37.679821000000004,-121.75005
Emma C. Smith Elementary,391 Ontario Drive,Livermore,Livermore Valley Joint Unified,Alameda,CA,94550.0,9,Active,37.667168,-121.7964
Jackson Avenue Elementary,554 Jackson Avenue,Livermore,Livermore Valley Joint Unified,Alameda,CA,94550.0,8,Active,37.684923,-121.74262
Joe Michell,1001 Elaine Avenue,Livermore,Livermore Valley Joint Unified,Alameda,CA,94550.0,7,Active,37.669568,-121.7835
Marylin Avenue Elementary,800 Marylin Avenue,Livermore,Livermore Valley Joint Unified,Alameda,CA,94551.0,7,Active,37.683865999999995,-121.78603000000001
William Mendenhall Middle,1701 El Padro Drive,Livermore,Livermore Valley Joint Unified,Alameda,CA,94551.0,9,Active,37.664505,-121.79221000000001
Arroyo Seco Elementary,5280 Irene Way,Livermore,Livermore Valley Joint Unified,Alameda,CA,94568.0,8,Active,37.68367,-121.72854
Andrew N. Christensen Middle,5757 Haggin Oaks Avenue,Livermore,Livermore Valley Joint Unified,Alameda,CA,94566.0,7,Active,37.726489,-121.72851999999999
Rancho Las Positas Elementary,401 East Jack London Boulevard,Livermore,Livermore Valley Joint Unified,Alameda,CA,94566.0,7,Active,37.688959000000004,-121.80426999999999
Sunset Elementary,1671 Frankfurt Way,Livermore,Livermore Valley Joint Unified,Alameda,CA,94566.0,9,Active,37.662609,-121.77335
